country,country_code,year,BM.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.WD.GD.ZS,GC.TAX.INTT.RV.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.KD.ZG.AD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SE.ADT.1524.LT.ZS,SE.ADT.LITR.ZS,SI.POV.GINI,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,ST.INT.DPRT,ST.INT.XPND.CD
France,FRA,2020,1.08525408792736,0.731471704018579,0.00298708563397,110.387,46.4712,2440930.0,84.7064,28.5572228192655,30.2816679047993,2.97797868174696,2.97797868174696,-7.44064589948231,39169.8606000707,,,30.7,0.324557781035362,67601110.0,-1.06391683374409,19.025,0.653594576371169,80.975,117109000.0,21287000.0,31193000000.0
France,FRA,2021,3.98508078434687,3.30405312221271,0.0033909299588753,113.953,47.6442,2689564.0,86.0955,31.2880499332105,32.5004326976615,1.22181614073425,1.22181614073425,6.88233783360239,43725.0999521245,,,31.5,0.356902332389048,67842811.0,-1.05645768339267,18.758,0.686091869029281,81.242,,,
France,FRA,2022,3.68314611306419,4.01585632811977,0.0033186879915913,115.951,48.2502,3227132.0,85.3333,36.5036688904078,39.2864747207143,3.22063216992299,3.22063216992299,2.57084047567793,41082.8119320747,,,31.2,0.326992498564887,68065015.0,-1.10662315118271,18.491,0.655100354084571,81.509,,,
France,FRA,2023,2.29379328003245,0.591500421783679,0.0032685427152019,116.688,48.6688,3556589.0,86.8364,34.2800305804742,36.279524212719,5.30357173576937,5.30357173576937,0.936487518850853,44690.9345395117,,,31.8,0.326319200823468,68287487.0,-1.13363891720135,18.223,0.654577589532647,81.777,,,
France,FRA,2024,1.31955289307622,1.64614949240398,,,,3926271.0,88.6538,33.2440842472123,33.9788865095979,2.31295798668936,2.31295798668936,1.16613851497229,46150.4876861593,,,,0.335095323008513,68516699.0,-1.14093163619739,17.956,0.661062424539315,82.044,,,
Germany,DEU,2019,4.3299226385712,1.90698688059702,,128.292,42.1156,6478761.0,88.1345,42.3863044855837,36.747442628887,2.01597612276328,2.01597612276328,0.987893350164853,47623.8656074829,,,31.8,0.22551987421288,83092962.0,-0.0569656713221133,22.624,0.30826693577482,77.376,39563000.0,99533000.0,101231000000.0
Germany,DEU,2020,3.67680289295586,4.48666571074036,,128.425,43.3049,8109646.0,89.8129,39.1691838521344,33.824073376198,1.75504599873261,1.75504599873261,-4.09513751682526,47379.765194548,,,32.4,0.0816931586494595,83160871.0,-0.259233129793983,22.547,0.181157523178267,77.453,12449000.0,,
Germany,DEU,2021,4.93769265312081,2.93470785974787,,127.125,44.0643,9425914.0,91.4306,42.6575836538409,37.4990343972191,2.80292936590148,2.80292936590148,3.6699998840452,52265.6541620571,,,,0.0423270572552137,83196078.0,-0.362094669488807,22.456,0.15974977086524,77.544,,,
Germany,DEU,2022,3.62471459581005,2.0947134896352,,124.158,44.6186,10553940.0,91.6298,45.7805177232318,43.2836096462941,6.09185663198414,6.09185663198414,1.36973104612758,49686.1154582583,,,,0.720875455989295,83797985.0,0.25667537420783,22.352,0.854901972242501,77.648,,,
Germany,DEU,2023,2.28280329592525,1.71109200964451,,124.663,45.3805,11657953.0,92.4764,43.4023485563427,39.3967578932279,6.14291652076442,6.14291652076442,-0.266438401180253,53940.4073447462,,,,0.123957150064395,83901923.0,-0.400860545813759,22.235,0.274523691941495,77.765,,,
